"filename", "language", "Swift", "XML", "JSON", "C++", "YAML", "Properties", "Groovy", "Dart", "Markdown", "HTML", "comment", "blank", "total"
"/Users/ramidmour/development/flutter_calory_calculator/lib/entity/date_period_entity.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 11, 52
"/Users/ramidmour/development/flutter_calory_calculator/lib/entity/report_entity.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 13, 91
"/Users/ramidmour/development/flutter_calory_calculator/lib/entity/stats_entity.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 13, 83
"/Users/ramidmour/development/flutter_calory_calculator/lib/main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 2, 16
"/Users/ramidmour/development/flutter_calory_calculator/lib/models/activity.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 11, 52
"/Users/ramidmour/development/flutter_calory_calculator/lib/models/favorite.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 12, 60
"/Users/ramidmour/development/flutter_calory_calculator/lib/models/meal.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 79, 0, 0, 0, 16, 95
"/Users/ramidmour/development/flutter_calory_calculator/lib/models/product.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 11, 99
"/Users/ramidmour/development/flutter_calory_calculator/lib/models/profile.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 112, 0, 0, 0, 11, 123
"/Users/ramidmour/development/flutter_calory_calculator/lib/models/report.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 13, 91
"/Users/ramidmour/development/flutter_calory_calculator/lib/models/report_activity.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 12, 60
"/Users/ramidmour/development/flutter_calory_calculator/lib/pages/add_activity_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 3, 89
"/Users/ramidmour/development/flutter_calory_calculator/lib/pages/add_meal_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 170, 0, 0, 0, 13, 183
"/Users/ramidmour/development/flutter_calory_calculator/lib/pages/charts_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 86, 0, 0, 0, 3, 89
"/Users/ramidmour/development/flutter_calory_calculator/lib/pages/detailed_registration_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 151, 0, 0, 0, 3, 154
"/Users/ramidmour/development/flutter_calory_calculator/lib/pages/diary_page.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 204, 0, 0, 0, 4, 208
